id,title,company,location,salary,type,category,description,date,featured,url
1,"Senior Full Stack Developer (React & Node.js)","NexusTech Solutions","Zdalnie / Warszawa","18 000 - 24 000 PLN","Zdalna","it","Rozwój platformy SaaS w chmurze AWS, praca z React, TypeScript, Node.js oraz bazami PostgreSQL.",2026-08-30,true,"#"
2,"AI Prompt Engineer & LLM Specialist","Cognitive AI Labs","Zdalnie / Kraków","16 000 - 22 000 PLN","Zdalna","ai","Optymalizacja promptów, fine-tuning modeli językowych, integracja z API Claude i OpenAI.",2026-08-31,true,"#"
3,"Spawacz TIG / MIG-MAG (Konstrukcje stalowe)","StalBud Engineering","Gdańsk / Trójmiasto","7 500 - 11 000 PLN","Pełny etat","inzynieria","Prace spawalnicze metodami 141 (TIG) oraz 135 (MAG), czytanie rysunku technicznego.",2026-08-28,false,"#"
4,"UI/UX Product Designer (Figma / Design System)","PixelCraft Studio","Zdalnie / Wrocław","12 000 - 16 000 PLN","Zdalna","design","Projektowanie nowoczesnych interfejsów webowych i mobilnych, budowa Design Systemu w Figmie.",2026-08-29,true,"#"
5,"Główna Księgowa / Senior Accountant","FinancePro Partners","Poznań","10 000 - 14 000 PLN","Pełny etat","finanse","Prowadzenie pełnej księgowości spółek z o.o., sporządzanie sprawozdań finansowych, CIT, VAT, JPK.",2026-08-27,false,"#"
6,"DevOps Cloud Engineer (AWS / Kubernetes)","CloudScale Infrastructure","Zdalnie / Warszawa","20 000 - 27 000 PLN","Zdalna","it","Budowa pipeline CI/CD (GitHub Actions), zarządzanie klastrami EKS Kubernetes, Terraform.",2026-08-30,true,"#"
7,"Kierowca C+E (Trasy międzynarodowe)","TransLogistics Global","Katowice / Europa","9 000 - 13 500 PLN","Pełny etat","logistyka","Transport towarów w systemie 2/1 lub 3/1 po Europie Zachodniej. Nowoczesna flota Euro 6.",2026-08-26,false,"#"
8,"Elektryk Automatyk Przemysłowy (SEP do 1kV)","AutoRobotics Polska","Łódź","8 000 - 11 500 PLN","Pełny etat","inzynieria","Konserwacja linii produkcyjnych, diagnostyka sterowników PLC (Siemens S7), szafy sterownicze.",2026-08-28,false,"#"
9,"Growth Marketing & Performance Specialist","ScaleUp Ventures","Zdalnie / Warszawa","9 000 - 14 000 PLN","Zdalna","marketing","Kampanie Meta Ads, Google Ads, analityka GA4, optymalizacja lejków konwersji.",2026-08-31,true,"#"
10,"Frontend Developer (Vue 3 & TailwindCSS)","Veloce Soft","Zdalnie","14 000 - 18 000 PLN","Zdalna","it","Rozwój dashboardów B2B w technologii Vue 3 (Composition API), Vite i TailwindCSS.",2026-08-30,false,"#"
11,"Junior QA Automation Tester (Playwright / JS)","QualityFirst Labs","Kraków / Hybrydowo","7 000 - 9 500 PLN","Staż","it","Automatyzacja testów E2E w Playwright, testy API w Postmanie, raportowanie w Jira.",2026-08-29,false,"#"
12,"Cybersecurity Analyst (SOC / SIEM)","SecureNet Defense","Zdalnie / Warszawa","16 000 - 23 000 PLN","Kontrakt","it","Analiza incydentów bezpieczeństwa, zarządzanie SIEM, testy podatności i audyty bezpieczeństwa.",2026-08-31,true,"#"
